TDBC_NaOH_c2_1mmK_abs-2,,
Wavelength (nm),Abs,
994.5,-0.008243145421,
994,-0.008224299178,
993.5,-0.008366873488,
993,-0.008380534127,
992.5,-0.008451166563,
992,-0.008483407088,
991.5,-0.008589707315,
991,-0.008571485057,
990.5,-0.00845903717,
990,-0.008279516362,
989.5,-0.008630210534,
989,-0.008913980797,
988.5,-0.008886388503,
988,-0.00902813673,
987.5,-0.009001109749,
987,-0.009022204205,
986.5,-0.009139728732,
986,-0.009080666117,
985.5,-0.009140083566,
985,-0.009228838608,
984.5,-0.009266191162,
984,-0.009254737757,
983.5,-0.009356390685,
983,-0.009286512621,
982.5,-0.009361102246,
982,-0.009482486174,
981.5,-0.009624850005,
981,-0.009823252447,
980.5,-0.00972135365,
980,-0.009590415284,
979.5,-0.009660700336,
979,-0.009784784168,
978.5,-0.009774457663,
978,-0.009825428948,
977.5,-0.00991348736,
977,-0.01017947961,
976.5,-0.01014008187,
976,-0.01006759889,
975.5,-0.01018033922,
975,-0.01021396834,
974.5,-0.01004498638,
974,-0.01008530334,
973.5,-0.0102542704,
973,-0.01034188829,
972.5,-0.01031949278,
972,-0.01020092145,
971.5,-0.01039188262,
971,-0.01052353997,
970.5,-0.0104972627,
970,-0.01044096239,
969.5,-0.0106148934,
969,-0.01080284454,
968.5,-0.01076794788,
968,-0.01085213013,
967.5,-0.01107248105,
967,-0.01113985199,
966.5,-0.01108378638,
966,-0.01115176082,
965.5,-0.01127420831,
965,-0.01143580489,
964.5,-0.01147795934,
964,-0.01146298368,
963.5,-0.01151239593,
963,-0.01148516964,
962.5,-0.01176294964,
962,-0.01182572916,
961.5,-0.01190481987,
961,-0.01217548549,
960.5,-0.01216063462,
960,-0.01191660669,
959.5,-0.01212423574,
959,-0.01236029714,
958.5,-0.01244205795,
958,-0.01246011909,
957.5,-0.01265315711,
957,-0.01277568471,
956.5,-0.0127947377,
956,-0.01290647127,
955.5,-0.01301501039,
955,-0.01310955826,
954.5,-0.01302571222,
954,-0.01297200006,
953.5,-0.01295963861,
953,-0.01284284238,
952.5,-0.01316290163,
952,-0.01341616921,
951.5,-0.01324918214,
951,-0.01311538555,
950.5,-0.01309061982,
950,-0.01313191094,
949.5,-0.0132736871,
949,-0.01349707972,
948.5,-0.01339769643,
948,-0.01326956972,
947.5,-0.01348242443,
947,-0.0136374319,
946.5,-0.01353386603,
946,-0.01355740149,
945.5,-0.01363361906,
945,-0.01359518524,
944.5,-0.0135589065,
944,-0.01348980237,
943.5,-0.01343373861,
943,-0.01386655495,
942.5,-0.01382252574,
942,-0.01381791197,
941.5,-0.01391509268,
941,-0.01386314537,
940.5,-0.01389423385,
940,-0.01404327992,
939.5,-0.01410818659,
939,-0.01417573914,
938.5,-0.01423416287,
938,-0.01412051544,
937.5,-0.01413835585,
937,-0.01432413794,
